t,Nu
0.2059,3.91602599
0.2061,3.91602609
0.2063,3.91602618
0.2065,3.91602628
0.2066,3.91602637
0.2068,3.91602646
0.2070,3.91602656
0.2072,3.91602665
0.2074,3.91602674
0.2075,3.91602683
0.2077,3.91602692
0.2079,3.91602701
0.2081,3.91602710
0.2083,3.91602719
0.2084,3.91602728
0.2086,3.91602736
0.2088,3.91602745
0.2090,3.91602754
0.2092,3.91602763
0.2093,3.91602771
0.2095,3.91602780
0.2097,3.91602788
0.2099,3.91602797
0.2100,3.91602805
0.2102,3.91602813
0.2104,3.91602822
0.2106,3.91602830
0.2108,3.91602838
0.2109,3.91602847
0.2111,3.91602855
0.2113,3.91602863
0.2115,3.91602871
0.2117,3.91602879
0.2118,3.91602887
0.2120,3.91602895
0.2122,3.91602903
0.2124,3.91602910
0.2126,3.91602918
0.2127,3.91602926
0.2129,3.91602934
0.2131,3.91602941
0.2133,3.91602949
0.2134,3.91602957
0.2136,3.91602964
0.2138,3.91602972
0.2140,3.91602979
0.2142,3.91602987
0.2143,3.91602994
0.2145,3.91603001
0.2147,3.91603009
0.2149,3.91603016
0.2151,3.91603023
0.2152,3.91603030
0.2154,3.91603038
0.2156,3.91603045
0.2158,3.91603052
0.2160,3.91603059
0.2161,3.91603066
0.2163,3.91603073
0.2165,3.91603080
0.2167,3.91603087
0.2169,3.91603093
0.2170,3.91603100
0.2172,3.91603107
0.2174,3.91603114
0.2176,3.91603120
0.2177,3.91603127
0.2179,3.91603134
0.2181,3.91603140
0.2183,3.91603147
0.2185,3.91603153
0.2186,3.91603160
0.2188,3.91603166
0.2190,3.91603173
0.2192,3.91603179
0.2194,3.91603186
0.2195,3.91603192
0.2197,3.91603198
0.2199,3.91603204
0.2201,3.91603211
0.2203,3.91603217
0.2204,3.91603223
0.2206,3.91603229
0.2208,3.91603235
0.2210,3.91603241
0.2211,3.91603247
0.2213,3.91603253
0.2215,3.91603259
0.2217,3.91603265
0.2219,3.91603271
0.2220,3.91603277
0.2222,3.91603283
0.2224,3.91603289
0.2226,3.91603294
0.2228,3.91603300
0.2229,3.91603306
0.2231,3.91603312
0.2233,3.91603317
0.2235,3.91603323
0.2237,3.91603328
0.2238,3.91603334
0.2240,3.91603340
0.2242,3.91603345
0.2244,3.91603351
0.2245,3.91603356
0.2247,3.91603361
0.2249,3.91603367
0.2251,3.91603372
0.2253,3.91603377
0.2254,3.91603383
0.2256,3.91603388
0.2258,3.91603393
0.2260,3.91603399
0.2262,3.91603404
0.2263,3.91603409
0.2265,3.91603414
0.2267,3.91603419
0.2269,3.91603424
0.2271,3.91603429
